,Data,Mode,Makespan,Time
1,abz5,Fitness,1466,54.4305
2,abz5,Fitness,1378,52.917
3,abz5,Fitness,1411,53.6894
4,abz5,Fitness,1417,53.471
5,abz5,Fitness,1403,53.5588
6,abz6,Fitness,1116,53.1937
7,abz6,Fitness,1147,53.1538
8,abz6,Fitness,1087,53.473
9,abz6,Fitness,1096,53.2107
10,abz6,Fitness,1132,53.0482
11,abz7,Fitness,956,135.3281
12,abz7,Fitness,980,135.6382
13,abz7,Fitness,973,136.1634
14,abz7,Fitness,927,134.7027
15,abz7,Fitness,948,136.003
16,abz8,Fitness,998,136.0471
17,abz8,Fitness,1029,139.2016
18,abz8,Fitness,975,134.631
19,abz8,Fitness,997,135.5069
20,abz8,Fitness,1014,136.3054
21,abz9,Fitness,1008,136.1604
22,abz9,Fitness,1037,141.4387
23,abz9,Fitness,1036,139.1648
24,abz9,Fitness,1002,137.6287
25,abz9,Fitness,1030,140.209
26,test_10015,Fitness,3562,949.8487
27,test_10015,Fitness,3486,955.3804
28,test_10015,Fitness,3561,968.0001
29,test_10015,Fitness,3461,957.7806
30,test_10015,Fitness,3454,962.7076
31,test_2020,Fitness,1159,185.3847
32,test_2020,Fitness,1172,186.0109
33,test_2020,Fitness,1154,186.57
34,test_2020,Fitness,1193,186.3546
35,test_2020,Fitness,1225,185.1378
36,test_3030,Fitness,2020,461.8177
37,test_3030,Fitness,1922,442.4882
38,test_3030,Fitness,2135,466.7137
39,test_3030,Fitness,2030,454.8106
40,test_3030,Fitness,2025,457.4407
41,test_4040,Fitness,2786,710.2972
42,test_4040,Fitness,2808,710.3789
43,test_4040,Fitness,2954,724.0337
44,test_4040,Fitness,2757,706.0083
45,test_4040,Fitness,2794,729.0782
46,test_5020,Fitness,2251,549.9364
47,test_5020,Fitness,2284,542.6441
48,test_5020,Fitness,2204,578.122
49,test_5020,Fitness,2157,590.7232
50,test_5020,Fitness,2306,559.3462
